year_funded,province,district,municipality,barangay,project_name,status,projects,length_km,influence_area_ha,farmer_beneficiaries,latitude,longitude
2016,QUIRINO,LONE,NAGTIPUNAN,SAN DIONISO II,"CONCRETING/IMPROVEMENT OF SITIO DIVINSIN, SAN DIONISO II FMR",COMPLETED,1,0.58,450,200,16.241403999999999,121.624937
2016,QUIRINO,LONE,SAGUDAY,LA PAZ,CONCRETING/IMPROVEMENT OF LA PAZ FMR,COMPLETED,1,0.2404,274,240,16.575040999999999,121.573097
2016,QUIRINO,LONE,SAGUDAY,MAGSAYSAY,CONCRETING/IMPROVEMENT OF MAGSAYSAY FMR,COMPLETED,1,0.275,317,285,16.538630000000001,121.564995
2017,BATANES,LONE,BASCO,"BASCO,BATANES",CONCRETING OF BATANES EXPERIMENT STATION ROAD NETWORK FMR,COMPLETED,1,0.123,14,100,20.439923,121.96567400000001
2017,BATANES,LONE,BASCO,CHANARIAN-TUKON,"CONCRETING OF PAYIN I, CHANARIAN-TUKON FMR",COMPLETED,1,0.097,18,60,20.431501999999998,121.96287
2017,BATANES,LONE,BASCO,KAYVALUGANAN,"CONCRETING OF STA. MARIA-MARANAO (PHASE IV) , KAYVALUGANAN FMR",COMPLETED,1,0.113,45,100,20.454592999999999,121.986535
2017,BATANES,LONE,BASCO,KAYYCHANARIANAN,"CONCRETING OF SITIO -YASYAS, KAYYCHANARIANAN FMR",COMPLETED,1,0.111,14,50,20.445115999999999,121.972221
2017,BATANES,LONE,BASCO,SAN ANTONIO,"CONCRETING OF MALAYO, SAN ANTONIO FMR",COMPLETED,1,0.19,56,70,20.45551,121.971558
2017,BATANES,LONE,ITBAYAT,RAELE,"CONCRETING OF TALIH-VARUGAN,RAELE FMR",COMPLETED,1,0.187,55,70,20.727540000000001,121.81664000000001
2017,BATANES,LONE,ITBAYAT,STA. MARIA,"CONCRETING OF CAMAYA, STA.MARIA FMR",COMPLETED,1,0.155,90,70,20.779398,121.86350400000001
2017,BATANES,LONE,ITBAYAT,STA. ROSA,"CONCRETING OF LISED-MULONG (PHASE III), STA. ROSA FMR",COMPLETED,1,0.569,55,100,20.803850000000001,121.853115
2017,BATANES,LONE,ITBAYAT,"STA. ROSA,","CONCRETING OF CAPARIAN, STA. ROSA FMR",COMPLETED,1,0.374,48,70,20.79626,121.842308
2017,BATANES,LONE,IVANA,TUHEL,"CONCRETING OF SAYED-CHIVEH, TUHEL FMR",COMPLETED,1,0.222,15,90,20.376443999999999,121.929007
2017,BATANES,LONE,MAHATAO,HANIB,"CONCRETING OF DISVAYANGAN-VADICHI (PHASE II), HANIB FMR",COMPLETED,1,0.09,24,100,20.413177999999998,121.944231
2017,BATANES,LONE,SABTANG,CHAVAYAN,"CONCRETING OF VANGUNUN-ASKED, CHAVAYAN FMR",COMPLETED,1,0.1,66,100,20.279890999999999,121.86769700000001
2017,BATANES,LONE,SABTANG,SAVUDUG,"CONCRETING OF MANARU-CHANINU, SAVUDUG FMR",COMPLETED,1,0.165,40,100,20.310986,121.879724
2017,BATANES,LONE,SABTANG,SINAKAN,"CONCRETING OF PINRAWATAN-VAYTAN, SINAKAN FMR",COMPLETED,1,0.081,42,100,20.324096999999998,121.863118
2017,BATANES,LONE,UYUGAN,IMNAJBU,"CONCRETING OF CHINGTEB-BABAL, IMNAJBU FMR",COMPLETED,1,0.07,21,49,20.383240000000001,121.969796
2017,BATANES,LONE,UYUGAN,ITBUD,"CONCRETING OF DIAHEM-HATENG, ITBUD FMR",COMPLETED,1,0.044,76,100,20.366728999999999,121.957927
2017,CAGAYAN,I,APARRI,PADDAYA,IMPROVEMENT/CONCRETING OF PADDAYA (PHASE II) FMR,COMPLETED,1,0.6165,1000,500,18.330760000000001,121.72264
2017,CAGAYAN,I,BAGGAO,REMUS,CONCRETING OF PUROK- PAPAYA REMUS FMR,COMPLETED,1,0.759,150,500,17.990324000000001,121.92093300000001
2017,CAGAYAN,I,CAMALANIUGAN,MINANGA,CONCRETING OF MINANGA FMR,COMPLETED,1,0.159,100,200,18.269362999999998,121.719516
2017,CAGAYAN,I,CAMALANIUGAN,SAPPING,CONCRETING OF SAPPING FMR,COMPLETED,1,0.2803,50,100,18.269272999999998,121.679306
2017,CAGAYAN,I,GATTARAN,CABAYU,CONCRETING OF CABAYU FMR,COMPLETED,1,0.186,212,150,18.060192000000001,121.679852
