prism_psa_region_code,prism_region,prism_psa_province_code,province,prism_psa_municipal_code,municipality,prism_rice_area_2026s1,prism_planted_sep_2025,prism_planted_oct_2025,prism_planted_nov_2025,prism_planted_dec_2025,prism_planted_jan_2026,prism_planted_feb_2026,prism_planted_mar_2026,prism_harvested_dec_2025,prism_harvested_jan_2026,prism_harvested_feb_2026,prism_harvested_mar_2026,prism_harvested_apr_2026,prism_harvested_may_2026,prism_harvested_jun_2026,prism_growth_reproductive_ha,prism_growth_ripening_ha,prism_growth_harvested_ha,prism_standing_crop_area,prism_upcoming_harvest_area,prism_harvest_progress_pct,prism_dominant_growth_phase,prism_yield_area_ha,prism_production_mt,prism_yield_mt_ha,prism_flooded_nonrice_ha,prism_flooded_vegetative_ha,prism_flooded_reproductive_ha,prism_flooded_ripening_ha,prism_flooded_harvested_ha,prism_flooded_standing_crop_ha,prism_flooded_rice_total_ha,prism_flooded_reproductive_ripening_ha,prism_flooded_standing_share_pct,prism_flooded_rice_share_pct,prism_expected_production_at_risk_mt,prism_flood_damage_priority_score,prism_flood_damage_priority_class,prism_damage_event,prism_source_date
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201521000,Rizal,455.24,0.00,0.00,2.60,83.52,285.36,47.96,35.80,0.00,0.00,0.20,85.92,249.00,84.32,35.80,35.80,131.56,287.88,167.36,120.12,63.24,Harvested,455.24,1708.51,3.75,270.04,0.12,0.00,0.00,0.00,0.12,0.12,0.00,0.07,0.03,0.45,0.17,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201522000,Sanchez Mira,1983.28,0.00,0.00,29.32,232.16,977.40,492.60,251.80,0.00,0.00,0.96,260.52,864.48,605.52,251.80,251.80,895.36,836.12,1147.16,857.32,42.16,Ripening,1983.28,8141.69,4.11,202.92,0.68,0.00,0.00,0.00,0.68,0.68,0.00,0.06,0.03,2.79,0.25,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201523000,Santa Ana,2857.96,0.00,0.00,0.00,384.60,1796.68,322.84,353.84,0.00,0.00,0.00,384.60,1526.60,592.92,353.84,353.84,810.52,1693.60,1164.36,946.76,59.26,Harvested,2857.96,11549.43,4.04,599.48,2.12,0.00,0.00,0.00,2.12,2.12,0.00,0.18,0.07,8.56,0.79,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201524000,Santa Praxedes,328.76,0.00,0.00,1.92,17.28,167.28,106.56,35.72,0.00,0.00,0.84,18.36,128.72,145.12,35.72,35.72,197.56,95.48,233.28,180.84,29.04,Ripening,328.76,935.76,2.85,4.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201525000,Santa Teresita,2477.36,0.00,0.00,0.00,340.52,1765.68,209.88,161.28,0.00,0.00,0.00,340.52,1599.56,376.00,161.28,161.28,592.00,1724.08,753.28,537.28,69.59,Harvested,2477.36,9908.75,4.00,339.76,0.64,0.00,0.00,0.00,0.64,0.64,0.00,0.08,0.03,2.56,0.30,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201526000,Santo Niño (Faire),3437.68,0.00,0.00,0.00,919.12,1980.76,293.84,243.96,0.00,0.00,0.00,919.12,1819.76,454.84,243.96,243.96,760.84,2432.88,1004.80,698.80,70.77,Harvested,3437.68,14439.88,4.20,1109.52,0.96,0.00,0.00,0.00,0.96,0.96,0.00,0.10,0.03,4.03,0.38,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201527000,Solana,11442.80,0.00,0.00,0.00,3282.52,5772.68,990.20,1397.40,0.00,0.00,0.00,3282.52,5288.72,1474.16,1397.40,1397.40,2300.88,7744.52,3698.28,2871.56,67.68,Harvested,11442.80,51709.30,4.52,8601.44,11.76,0.00,0.00,0.00,11.76,11.76,0.00,0.32,0.10,53.16,3.00,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201528000,Tuao,6343.40,0.00,0.00,13.08,1314.44,3475.36,795.28,745.24,0.00,0.00,3.84,1323.68,2955.68,1314.96,745.24,745.24,1906.88,3691.28,2652.12,2060.20,58.19,Harvested,6343.40,25639.40,4.04,1366.08,2.12,0.00,0.00,0.00,2.12,2.12,0.00,0.08,0.03,8.56,0.58,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201529000,Tuguegarao City (Capital),498.44,0.00,0.00,0.00,132.40,193.84,65.32,106.88,0.00,0.00,0.00,132.40,165.96,93.20,106.88,106.88,139.08,252.48,245.96,200.08,50.65,Harvested,498.44,2022.73,4.06,2480.44,0.04,0.00,0.00,0.00,0.04,0.04,0.00,0.02,0.01,0.16,0.04,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203101000,Alicia,13112.16,0.00,0.00,650.32,7692.96,4601.28,109.32,58.28,0.00,0.00,240.48,8102.80,4430.96,279.64,58.28,58.28,440.60,12613.28,498.88,337.92,96.20,Harvested,13112.16,64654.23,4.93,6087.96,329.48,1.72,0.00,0.00,331.20,331.20,1.72,66.39,2.53,1632.82,83.09,Very High,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
