source_file,sheet,province,district,municipality,year,program,activity,unit,physical_target,budget,length_km,allocation_method,source_note
batanes.xlsx,SAAD,Batanes,LONE,Itbayat,2027,SAAD,3.1 Market-related trainings conducted,number,1.00,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
batanes.xlsx,SAAD,Batanes,LONE,Uyugan,2027,SAAD,3.1 Market-related trainings conducted,number,1.00,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
batanes.xlsx,SAAD,Batanes,LONE,Basco (Capital),2027,SAAD,3.1 Market-related trainings conducted,number,1.00,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
batanes.xlsx,SAAD,Batanes,LONE,Ivana,2027,SAAD,3.1 Market-related trainings conducted,number,1.00,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
batanes.xlsx,SAAD,Batanes,LONE,Itbayat,2027,SAAD,3.2 Partially established CBEs,group,0.75,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
batanes.xlsx,SAAD,Batanes,LONE,Uyugan,2027,SAAD,3.2 Partially established CBEs,group,0.75,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
batanes.xlsx,SAAD,Batanes,LONE,Basco (Capital),2027,SAAD,3.2 Partially established CBEs,group,0.75,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
batanes.xlsx,SAAD,Batanes,LONE,Ivana,2027,SAAD,3.2 Partially established CBEs,group,0.75,0.00,,remarks municipality split,"Basco, Ivana, Itbayat, Uyugan           "
batanes.xlsx,SAAD,Batanes,LONE,,2025,SAAD,SAAD district/province total,,,8961.00,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
batanes.xlsx,SAAD,Batanes,LONE,,2026,SAAD,SAAD district/province total,,,2923.00,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
batanes.xlsx,4Ks,Batanes,LONE,Basco (Capital),2027,4Ks,Upland Vegetables,no. of kg distributed,5.65,82.56,,remarks municipality split,BASCO only           
batanes.xlsx,4Ks,Batanes,LONE,Basco (Capital),2027,4Ks,Lowland Vegetables,no. of kg distributed,13.70,74.17,,remarks municipality split,BASCO only           
batanes.xlsx,4Ks,Batanes,LONE,,2025,4Ks,4Ks district/province total,,,364.50,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
batanes.xlsx,4Ks,Batanes,LONE,,2026,4Ks,4Ks district/province total,,,171.40,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
batanes.xlsx,MCRA,Batanes,LONE,,2025,MCRA,MCRA district/province total,,,1000.00,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
batanes.xlsx,NHSP,Batanes,LONE,,2025,National Soil Health,National Soil Health district/province total,,,482.50,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
batanes.xlsx,NHSP,Batanes,LONE,,2026,National Soil Health,National Soil Health district/province total,,,321.00,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
batanes.xlsx,OAP,Batanes,LONE,,2025,OAP,OAP district/province total,,,1450.00,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
batanes.xlsx,OAP,Batanes,LONE,,2026,OAP,OAP district/province total,,,750.00,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
batanes.xlsx,OAP,Batanes,LONE,,2027,OAP,OAP district/province total,,,2100.00,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
cagayan_1.xlsx,RICE,Cagayan,I,Santa Teresita,2027,Rice Program,Fertilizer Assistance - Ameliorants (solid),kilograms,,0.00,,remarks municipality split,ALCALA APARRI BAGGAO BUGUEY LAL-LO CAMALANIUGAN GATTARAN GONZAGA SANTA TERESITA SANTA ANA           
cagayan_1.xlsx,RICE,Cagayan,I,Camalaniugan,2027,Rice Program,Fertilizer Assistance - Ameliorants (solid),kilograms,,0.00,,remarks municipality split,ALCALA APARRI BAGGAO BUGUEY LAL-LO CAMALANIUGAN GATTARAN GONZAGA SANTA TERESITA SANTA ANA           
cagayan_1.xlsx,RICE,Cagayan,I,Gattaran,2027,Rice Program,Fertilizer Assistance - Ameliorants (solid),kilograms,,0.00,,remarks municipality split,ALCALA APARRI BAGGAO BUGUEY LAL-LO CAMALANIUGAN GATTARAN GONZAGA SANTA TERESITA SANTA ANA           
cagayan_1.xlsx,RICE,Cagayan,I,Santa Ana,2027,Rice Program,Fertilizer Assistance - Ameliorants (solid),kilograms,,0.00,,remarks municipality split,ALCALA APARRI BAGGAO BUGUEY LAL-LO CAMALANIUGAN GATTARAN GONZAGA SANTA TERESITA SANTA ANA           
