facility_id,facility_name,facility_type,province,district,municipality,barangay,latitude,longitude,status,capacity,service_area_ha,project_amount,year_granted,year_finished,year_constructed,source_layer,source_folder,remarks
IRR-KML-0843,PISOS_SPIS,PISOS,Cagayan,2nd District,Santo Niño (Faire),Palusao,17.8606650,121.5683200,Not specified in source,,8.18,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0560; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0844,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Calamagui,17.8527360,121.7154160,Not specified in source,,6.9267,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0550; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0845,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Calamagui,17.8441190,121.7187820,Not specified in source,,7,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0555; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0846,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Calamagui,17.8509400,121.7143870,Not specified in source,,2.5,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0553; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0847,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Calamagui,17.8409990,121.7073980,Not specified in source,,3,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0554; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0848,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Estefania,17.8000970,121.7213860,Not specified in source,,3.5,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0548; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0849,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Estefania,17.7937750,121.7162880,Not specified in source,,3.2,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0428; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0850,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Estefania,17.7989570,121.7140900,Not specified in source,,2,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0387; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0851,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Estefania,17.7971800,121.7160870,Not specified in source,,3,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0426; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0852,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Estefania,17.7951090,121.7113600,Not specified in source,,3,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0552; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0853,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Anquiray,17.8215600,121.7182490,Not specified in source,,3.5,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0430; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
